title,artist,year,category
Lag Jaa Gale,Lata Mangeshkar,1964,60s 
Badan Pe Sitare Lapete Huye,Mohammad Rafi,1969,60s 
Dum Maaro Dum,Asha Bhosle,1971,70s
Khaike Paan Banaras Wala,Kishore Kumar,1978,70s
I Am A Disco Dancer,Vijay Benedict,1982,80s
Neele Neele Ambar Par,Kishore Kumar,1983,80s
Chhaiyya Chhaiyya,"Sukhwinder Singh, Sapna Awasthi",1998,90s
Pehla Nasha,"Udit Narayan, Sadhana Sargam",1992,90s
Kal Ho Naa Ho,Sonu Nigam,2003,early 2000s
Kajra Re,"Alisha Chinai, Shankar Mahadevan, Javed Ali",2005,early 2000s
Tum Hi Ho,Arjit Singh,2013,2010 onwards
Gerua,"Arijit Singh, Antara Mitra",2015,2010 onwards
