title,artist,year,category,genre,mood
Lag Jaa Gale,Lata Mangeshkar,1964,60s ,Bollywood,Sad
Aao Huzoor Tumko,Asha Bhosle,1968,60s ,Jazz,Relaxing
Chura Liya Hai Tumne Jo Dil Ko,"Asha Bhosle, Mohammad Rafi",1973,70s,Pop,Romantic
Khaike Paan Banaras Wala,Kishore Kumar,1978,70s,Bollywood,Energetic
Hawa Hawai,Kavita Krishnamurthy,1987,80s,Pop,Happy
Neele Neele Ambar Par,Kishore Kumar,1983,80s,Bollywood,Romantic
Tujhe Dekha Toh,Kumar Sanu and Lata Mangeshkar,1995,90s,Bollywood,Nostalgic
Sayonee,Junun,1997,90s,Rock,Rock
Dil Chahta Hai,Shankar Mahadevan,2001,early 2000s,Pop,Happy
Albela Sajan,"Sultan Khan, Shankar Mahadevan, and Kavita Krishnamurthy",2002,early 2000s,Classical,Happy
Tum Hi Ho,Arjit Singh,2013,2010 onwards,Bollywood,Romantic
Kun Faya Kun,"A.R. Rahman, Javed Ali, and Mohit Chauhan",2011,2010 onwards,Classical,Relaxing
